Book-name	Author	Publisher	Publish-time	ISBN	img-src	book-introduction	author-introduction	Score	commments	5-stars	4-stars	3-stars	2-stars	1-stars
计算机网络	JamesF.Kurose	机械工业出版社	2018-6	9787111599715	https://img1.doubanio.com/view/subject/l/public/s29825217.jpg	NULL	NULL	8.9 	64	71.9%	25.0%	3.1%	0.0%	0.0%
算法引论	[美]UdiManber	电子工业出版社	2005-9-1	9787121016653	https://img9.doubanio.com/view/subject/l/public/s1755236.jpg	NULL	Udi Manber	9.1 	195	60.5%	29.7%	7.7%	1.5%	0.5%
C++ Primer中文版	StanleyB.Lippman	人民邮电出版社	2010	9787115220172	https://img1.doubanio.com/view/subject/l/public/s6123827.jpg	本书是久负盛名的C++经典教程，完美结合了C++大师Stanley B.Lippman丰富的实践经验和C++标准委员会原负责人Josée Lajoie对C++标准的深入理解，已经帮助全球无数程序员学会了C++。新版更加入了C++先驱Barbara E.Moo在C++教学方面的真知灼见，充分体现了C++语言的最新进展和当前的业界最佳实践。本版不但有大量教学辅助内容，用于强调重要的知识点，提醒常见的错误，推荐优秀的编程实践，给出使用提示，大量来自实战的示例和习题，更特别附带了《C++编程规范》的内容。	Stanley B. Lippman  微软公司 Visual C++ 团队的架构师。他从1984年开始在贝尔实验室与C++的设计者Bjarne Stroustrup一起从事C++的设计与开发。他还著有Inside the C++ Object Model。	9.1 	124	69.4%	25.8%	3.2%	0.8%	0.8%
Linux命令行大全	绍茨(WilliamE.Shotts)	人民邮电出版社	2013-3-1	9787115307453	https://img3.doubanio.com/view/subject/l/public/s27318531.jpg	NULL	"William E. Shotts, Jr.，作为一名软件开发人员和狂热的Linux用户已经有15年之久。他在软件开发领域有广泛的背景，先后涉及过技术支持、质量保证和文档编写等工作。他还是LinuxCommand.org网站的创始人，该网站是一个Linux教育和宣传网站，以新闻、评论和为人们使用Linux命令行提供广泛支持而见长。"	8.2 	161	42.9%	41.0%	14.3%	1.9%	0.0%
数据结构与算法图解	[美]杰伊?温格罗	人民邮电出版社	2019-4	9787115509000	https://img9.doubanio.com/view/subject/l/public/s32265576.jpg	本书是数据结构与算法的入门指南，不局限于某种特定语言，略过复杂的数学公式，用通俗易懂的方式针对编程初学者介绍数据结构与算法的基本概念，培养读者编程逻辑。主要内容包括：为什么要了解数据结构与算法，大O表示法及其代码优化利用，栈、队列等的合理使用，等等。	杰伊?温格罗（Jay Wengrow）	8.8 	22	45.5%	45.5%	9.1%	0.0%	0.0%
The Art of Readable Code	DustinBoswell	O&#39;Reilly Media	2011-10-8	9780596802295	https://img3.doubanio.com/view/subject/l/public/s7663012.jpg	NULL	NULL	8.6 	262	43.9%	45.0%	11.1%	0.0%	0.0%
Go语言学习笔记	雨痕	电子工业出版社	2016-6	9787121291609	https://img3.doubanio.com/view/subject/l/public/s28878681.jpg	作为时下流行的一种系统编程语言，Go 简单易学，性能很好，且支持各类主流平台。已有大量项目采用 Go 编写，这其中就包括 Docker 等明星作品，其开发和执行效率早已被证明。本书经四年多逐步完善，内容覆盖了语言、运行时、性能优化、工具链等各层面知识。且内容经大量读者反馈和校对，没有明显的缺陷和错误。上卷细致解析了语言规范相关细节，便于读者深入理解语言相关功能的使用方法和注意事项。下卷则对运行时源码做出深度剖析，引导读者透彻了解语言功能背后的支持环境和运行体系，诸如内存分配、垃圾回收和并发调度等。本书不适合编程初学入门，可供有实际编程经验或正在使用Go 工作的人群参考。	NULL	8.0 	178	37.1%	41.0%	15.7%	3.4%	2.8%
"The Elements of Programming Style, 2nd Edition"	BrianW.Kernighan	McGraw-Hill	1978-1-1	9780070342071	https://img9.doubanio.com/view/subject/l/public/s2578176.jpg	NULL	NULL	9.4 	44	63.6%	31.8%	4.5%	0.0%	0.0%
R语言入门与实践	[美]GarrettGrolemund	人民邮电出版社	2016-6	9787115424716	https://img1.doubanio.com/view/subject/l/public/s28776989.jpg	本书精心策划了三个虚拟项目，将数据科学家必需的专业技能融合其中，教会读者如何将数据存储到计算机内存中，如何在必要的时候转换内存中的数据值，如何用R编写自己的程序并将其用于数据分析和模拟运行。读者将跟随世界一流的RStudio培训师掌握宝贵的编程技能，并借助这些技能成为优秀的数据科学家。	Garrett Grolemund	9.1 	42	61.9%	31.0%	7.1%	0.0%	0.0%
黑客	StevenLevy	机械工业出版社华章公司	2011-10-31	9787111358404	https://img3.doubanio.com/view/subject/l/public/s6951030.jpg	黑客文化和伦理的奠基之作，计算机专业人士必读。	NULL	8.3 	883	40.2%	39.6%	17.7%	1.8%	0.7%
